round,model,rmse,mae,r2
18,MLP,0.336922156,0.253092647,-1.169265747
19,MLP,0.332671513,0.25159651,-1.128807783
20,MLP,0.337108147,0.254997551,-1.203486204
21,MLP,0.339752733,0.256142974,-1.256368399
22,MLP,0.345513426,0.259539962,-1.350795746
23,MLP,0.347813592,0.258986145,-1.415660262
24,MLP,0.353324195,0.260984719,-1.516443372
25,MLP,0.358933655,0.262653589,-1.621372342
1,Residual,0.78114547,0.436183989,-11.26817036
2,Residual,0.87753382,0.479829073,-14.8075695
3,Residual,0.826779118,0.459782779,-13.08819199
4,Residual,0.761347049,0.434036821,-10.90002441
5,Residual,0.704811405,0.410793126,-9.171770096
6,Residual,0.653896426,0.390383959,-7.717579842
7,Residual,0.614967409,0.374021411,-6.652513504
8,Residual,0.576581958,0.358654797,-5.680383205
9,Residual,0.544552203,0.345715284,-4.919954777
10,Residual,0.514757091,0.33447662,-4.255533218
11,Residual,0.483896111,0.322638065,-3.624260902
12,Residual,0.458365815,0.31290406,-3.119958639
13,Residual,0.430947935,0.300889581,-2.62782383
14,Residual,0.409450323,0.290893257,-2.261078835
15,Residual,0.385938802,0.278904021,-1.886418104
16,Residual,0.369678549,0.268753588,-1.64135921
17,Residual,0.357315089,0.261218816,-1.474043965
18,Residual,0.35038488,0.258485913,-1.378119588
19,Residual,0.3420473,0.254667968,-1.27750659
20,Residual,0.336342124,0.252207965,-1.210990071
21,Residual,0.333638229,0.250806779,-1.187115788
22,Residual,0.331538564,0.248384938,-1.179412603
23,Residual,0.332985528,0.249197155,-1.209758639
24,Residual,0.333463318,0.247833073,-1.23549664
25,Residual,0.337046943,0.250328541,-1.285898209
1,Dual,0.80670188,0.439260125,-12.30074692
2,Dual,0.879444958,0.462698579,-14.63983822
3,Dual,0.855428129,0.451704949,-13.65875626
4,Dual,0.827923048,0.441161811,-12.63664055
5,Dual,0.796533998,0.428658962,-11.595994
6,Dual,0.778095821,0.422191441,-11.03352928
7,Dual,0.747072148,0.410373151,-10.09365463
8,Dual,0.729216456,0.404128969,-9.571184158
9,Dual,0.704838044,0.395623684,-8.900693893
10,Dual,0.690413328,0.391223341,-8.506778717
11,Dual,0.657515668,0.379995763,-7.591327667
12,Dual,0.64025645,0.375531495,-7.138718605
13,Dual,0.612277479,0.36619091,-6.436699867
14,Dual,0.596425753,0.361565292,-6.054586411
15,Dual,0.574964701,0.354630589,-5.553835869
16,Dual,0.559914209,0.349202871,-5.202344418
17,Dual,0.538716025,0.341639251,-4.724690437
18,Dual,0.533605794,0.340416014,-4.610142708
19,Dual,0.51807515,0.334171295,-4.259918213
20,Dual,0.516390665,0.333663225,-4.215866089
21,Dual,0.50367773,0.328483999,-3.953625441
22,Dual,0.505843762,0.329787761,-3.974540949
23,Dual,0.493798993,0.324284345,-3.74379468
24,Dual,0.497258613,0.326814473,-3.808653116
25,Dual,0.488161149,0.32343629,-3.608529806
1,MSARv3,0.306544781,0.236907437,-0.782383859
2,MSARv3,0.263046951,0.213851899,-0.366383553
3,MSARv3,0.273561967,0.228355289,-0.487420619
4,MSARv3,0.283252212,0.233104765,-0.615418255
5,MSARv3,0.301576751,0.244444638,-0.832371235
6,MSARv3,0.292738137,0.23793909,-0.684758723
7,MSARv3,0.290518894,0.233852297,-0.653213978
8,MSARv3,0.289447734,0.230067223,-0.620601714
9,MSARv3,0.290595398,0.228891879,-0.633042037
10,MSARv3,0.310330273,0.242749885,-0.873864174
11,MSARv3,0.309634951,0.246821746,-0.839218855
12,MSARv3,0.274021941,0.218833864,-0.44021225
13,MSARv3,0.280948504,0.218896508,-0.520365834
14,MSARv3,0.280753744,0.217550188,-0.50092864
15,MSARv3,0.266612755,0.20912078,-0.368868113
16,MSARv3,0.26952984,0.212593123,-0.420896292
17,MSARv3,0.262592083,0.208265364,-0.318914652
18,MSARv3,0.256265042,0.205121607,-0.264257967
19,MSARv3,0.273085149,0.219602644,-0.4444502
20,MSARv3,0.284032213,0.229731977,-0.567033052
21,MSARv3,0.277910299,0.221005291,-0.489891052
22,MSARv3,0.277083127,0.223722667,-0.493267417
23,MSARv3,0.26996641,0.219496265,-0.409663022
24,MSARv3,0.258935434,0.208343983,-0.268127501
25,MSARv3,0.263900926,0.210965961,-0.309830785
1,DeepFM,0.593348468,0.40814352,-6.431729317
2,DeepFM,0.473845318,0.330381393,-2.921774387
3,DeepFM,0.353913352,0.264659733,-1.213281631
4,DeepFM,0.403342406,0.292870343,-1.954309464
5,DeepFM,0.481724285,0.311071992,-3.003287792
6,DeepFM,0.417146605,0.286072969,-2.045143604
7,DeepFM,0.443110493,0.304702908,-2.576628923
8,DeepFM,0.464192632,0.309856445,-2.854956865
9,DeepFM,0.416100578,0.282928079,-2.064660311
10,DeepFM,0.428480499,0.287669748,-2.291330814
11,DeepFM,0.408042821,0.27663359,-1.915925503
12,DeepFM,0.448952787,0.293843687,-2.524414063
13,DeepFM,0.456895335,0.293911755,-2.605356216
14,DeepFM,0.456207805,0.292787135,-2.593268394
15,DeepFM,0.477314028,0.300469548,-2.945068836
16,DeepFM,0.438835048,0.286443144,-2.365603924
17,DeepFM,0.485431688,0.299584925,-3.06574297
18,DeepFM,0.465791569,0.289730191,-2.783229113
19,DeepFM,0.50249108,0.302239388,-3.329200268
20,DeepFM,0.480639358,0.292687327,-2.98824358
21,DeepFM,0.482247727,0.293174952,-3.026693821
22,DeepFM,0.48977661,0.296331614,-3.148761749
23,DeepFM,0.497146001,0.295921296,-3.253544569
24,DeepFM,0.526216305,0.309748352,-3.778989315
25,DeepFM,0.490638414,0.295446962,-3.155298233
1,AutoInt,0.301219101,0.237817228,-0.741092861
2,AutoInt,0.262942244,0.210333481,-0.343923986
3,AutoInt,0.294263522,0.235888153,-0.576210439
4,AutoInt,0.31491375,0.24829784,-1.098384142
5,AutoInt,0.238750636,0.197566822,-0.084347188
6,AutoInt,0.283211096,0.224329829,-0.591664135
7,AutoInt,0.286867494,0.232972831,-0.629153252
8,AutoInt,0.301989593,0.247195929,-0.828553379
9,AutoInt,0.309250387,0.248976141,-0.915523767
10,AutoInt,0.285269179,0.235424548,-0.600926638
11,AutoInt,0.276718065,0.227538347,-0.503369212
12,AutoInt,0.270347796,0.219790623,-0.427608609
13,AutoInt,0.274207475,0.222424686,-0.460327983
14,AutoInt,0.257831688,0.213115111,-0.283902824
15,AutoInt,0.271158146,0.227331191,-0.441350043
16,AutoInt,0.271102142,0.220438153,-0.423468173
17,AutoInt,0.287897702,0.230178863,-0.610483706
18,AutoInt,0.270212584,0.216973692,-0.415323555
19,AutoInt,0.267662007,0.218390167,-0.379367173
20,AutoInt,0.267617926,0.219419077,-0.372201383
21,AutoInt,0.277659438,0.222841769,-0.48847568
22,AutoInt,0.294235264,0.239519298,-0.670916378
23,AutoInt,0.283466007,0.225546673,-0.54535228
24,AutoInt,0.306208871,0.238887772,-0.808491886
25,AutoInt,0.309396304,0.245241582,-0.842635512
1,TabNet,0.348123333,0.285440803,-1.522312403
2,TabNet,0.304242273,0.25420177,-0.905457854
3,TabNet,0.277188016,0.234766543,-0.541429996
4,TabNet,0.264158408,0.224433511,-0.371006727
5,TabNet,0.25633106,0.216929987,-0.270358503
6,TabNet,0.251895721,0.211494356,-0.211913407
7,TabNet,0.249062935,0.207671255,-0.174451888
8,TabNet,0.248159053,0.20568499,-0.158269286
9,TabNet,0.247862034,0.204464346,-0.149966836
10,TabNet,0.248285209,0.204027504,-0.149860501
11,TabNet,0.24876111,0.203888834,-0.151435256
12,TabNet,0.249248747,0.203845471,-0.154143333
13,TabNet,0.249567485,0.203622356,-0.156140983
14,TabNet,0.24968967,0.203222483,-0.15707165
15,TabNet,0.249616112,0.202641994,-0.156834126
16,TabNet,0.249382456,0.20199284,-0.155660033
17,TabNet,0.249041807,0.201287821,-0.153936327
18,TabNet,0.248651826,0.200641975,-0.152082324
19,TabNet,0.248263902,0.200039893,-0.150451481
20,TabNet,0.247915428,0.199498892,-0.149265289
21,TabNet,0.247627429,0.199133977,-0.14860177
22,TabNet,0.247406606,0.19887808,-0.148423851
23,TabNet,0.247249968,0.198749602,-0.148630917
24,TabNet,0.247149474,0.198817685,-0.149110377
25,TabNet,0.247094587,0.199018821,-0.14976716
